epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.674,1.58736,3.21512,1.65498,0.59932,0.07995,0.13792,0.07762,1.47227,11.8187,1.55504,9.09e-05,9.09e-05,9.09e-05
2,440.188,1.40591,2.14881,1.52048,0.24151,0.2234,0.17107,0.09563,1.43479,3.23667,1.4914,0.00018711,0.00018711,0.00018711
3,631.279,1.31323,1.84093,1.43918,0.46507,0.382,0.38251,0.20713,1.43639,2.13079,1.50052,0.000279361,0.000279361,0.000279361
4,809.507,1.23824,1.67637,1.41099,0.50205,0.4522,0.44245,0.24707,1.41588,2.16774,1.49607,0.000367652,0.000367652,0.000367652
5,991.745,1.2361,1.57596,1.39596,0.49823,0.48631,0.46699,0.25384,1.43899,1.91548,1.49815,0.000451984,0.000451984,0.000451984
6,1174.81,1.20446,1.47249,1.38498,0.54885,0.45078,0.46645,0.23853,1.52853,1.91575,1.60151,0.000532356,0.000532356,0.000532356
7,1440.21,1.2082,1.40952,1.35276,0.54866,0.42928,0.45248,0.24374,1.44885,1.79479,1.56511,0.000608768,0.000608768,0.000608768
8,1692,1.19875,1.41571,1.3715,0.63762,0.4505,0.49325,0.27137,1.45492,1.73896,1.54616,0.000681221,0.000681221,0.000681221
9,1862.21,1.15813,1.34007,1.34306,0.63801,0.4323,0.46633,0.25195,1.50271,1.93917,1.66364,0.000749714,0.000749714,0.000749714
10,2279.51,1.10903,1.25306,1.32107,0.5877,0.44189,0.47738,0.2713,1.39387,1.82807,1.5066,0.000747016,0.000747016,0.000747016
11,2444.18,1.13009,1.22118,1.30893,0.62757,0.53624,0.57701,0.33243,1.33523,1.49419,1.43433,0.000729018,0.000729018,0.000729018
12,2617.85,1.13632,1.18632,1.30661,0.63501,0.54152,0.56501,0.32361,1.35766,1.83093,1.4754,0.00071102,0.00071102,0.00071102
13,2797.12,1.11805,1.1922,1.3225,0.60943,0.54123,0.54469,0.30687,1.35661,1.64947,1.46734,0.000693022,0.000693022,0.000693022
14,2962.73,1.09133,1.14056,1.30963,0.71718,0.56473,0.62014,0.36937,1.27186,1.49365,1.38844,0.000675023,0.000675023,0.000675023
15,3134.02,1.06687,1.09782,1.27838,0.69089,0.58245,0.63436,0.38699,1.24712,1.33002,1.35226,0.000657025,0.000657025,0.000657025
16,3330.3,1.08987,1.07733,1.27349,0.6646,0.59215,0.63951,0.3818,1.25347,1.47725,1.35313,0.000639027,0.000639027,0.000639027
17,3528.1,1.00847,1.03567,1.26073,0.74806,0.57932,0.65916,0.40285,1.27461,1.26206,1.37563,0.000621029,0.000621029,0.000621029
18,3725.21,1.07801,1.07724,1.30315,0.82836,0.62947,0.70806,0.44837,1.17183,1.034,1.29459,0.000603031,0.000603031,0.000603031
19,3912.1,1.04463,0.99815,1.25242,0.78527,0.65372,0.71479,0.44424,1.16943,1.028,1.27896,0.000585032,0.000585032,0.000585032
20,4081.11,1.00888,0.93116,1.22691,0.7991,0.64945,0.72625,0.45265,1.14801,1.03159,1.27399,0.000567034,0.000567034,0.000567034
21,4254.41,1.02556,0.97018,1.23149,0.81003,0.66482,0.73872,0.4643,1.13499,0.97776,1.25629,0.000549036,0.000549036,0.000549036
22,4707.62,0.98099,0.94562,1.21771,0.82604,0.66699,0.74636,0.47929,1.09836,0.91074,1.24715,0.000531038,0.000531038,0.000531038
